wp_index,x,y,segment_length_m,cumulative_length_m
252,1.5344704101669002,-0.23620094713790252,0.070711,14.03259
253,1.4844704094218422,-0.23620094713790252,0.05,14.08259
254,1.434470408676784,-0.23620094713790252,0.05,14.13259
255,1.384470407931726,-0.23620094713790252,0.05,14.18259
256,1.334470407186668,-0.23620094713790252,0.05,14.23259
257,1.28447040644161,-0.18620094639284446,0.070711,14.303301
258,1.2344704056965519,-0.18620094639284446,0.05,14.353301
259,1.1844704049514938,-0.18620094639284446,0.05,14.403301
260,1.1344704042064357,-0.18620094639284446,0.05,14.453301
261,1.0844704034613777,-0.18620094639284446,0.05,14.503301
262,1.0344704027163196,-0.18620094639284446,0.05,14.553301
263,0.9844704019712616,-0.1362009456477864,0.070711,14.624012
264,0.9344704012262035,-0.1362009456477864,0.05,14.674012
265,0.8844704004811454,-0.1362009456477864,0.05,14.724012
266,0.8344703997360874,-0.1362009456477864,0.05,14.774012
267,0.7844703989910293,-0.1362009456477864,0.05,14.824012
268,0.7344703982459713,-0.1362009456477864,0.05,14.874012
269,0.6844703975009132,-0.08620094490272834,0.070711,14.944722
270,0.6344703967558551,-0.08620094490272834,0.05,14.994722
271,0.5844703960107971,-0.08620094490272834,0.05,15.044722
272,0.534470395265739,-0.08620094490272834,0.05,15.094722
273,0.48447039452068097,-0.08620094490272834,0.05,15.144722
274,0.4344703937756229,-0.08620094490272834,0.05,15.194722
275,0.38447039303056485,-0.03620094415767028,0.070711,15.265433
276,0.3344703922855068,-0.03620094415767028,0.05,15.315433
277,0.28447039154044873,-0.03620094415767028,0.05,15.365433
278,0.23447039079539067,-0.03620094415767028,0.05,15.415433
279,0.1844703900503326,-0.03620094415767028,0.05,15.465433
280,0.13447038930527455,-0.03620094415767028,0.05,15.515433
281,0.08447038856021649,0.013799056587387781,0.070711,15.586144
282,0.03447038781515843,0.013799056587387781,0.05,15.636144
283,-0.015529612929899628,0.013799056587387781,0.05,15.686144
