t,joy_throttle,joy_steering,U_1
22.030032157898,1,0,0.2
22.0628547668457,1,0,0.2
22.104199886322,1,0,0.2
22.1539762020111,1,0,0.2
22.2059259414673,1,0,0.2
22.2468078136444,1,0,0.2
22.3066825866699,1,0,0.2
22.3511970043182,1,0,0.2
22.4552314281464,1,0,0.2
22.5082275867462,1,0,0.2
22.5594291687012,1,0,0.2
22.6540958881378,1,0,0.2
22.7681570053101,1,0,0.2
22.8497200012207,1,0,0.2
22.8950371742249,1,0,0.2
23.1866719722748,1,0,0.2
23.1867945194244,1,0,0.2
23.2203907966614,1,0,0.2
23.2388117313385,1,0,0.2
23.3179974555969,1,0,0.2
23.373318195343,1,0,0.2
23.436354637146,1,0,0.2
23.5140192508698,1,0,0.2
23.5619668960571,1,0,0.2
23.6264629364014,1,0,0.2
23.6264746189117,1,-0.0175288673490286,0.2
23.740752696991,1,-0.0175288673490286,0.2
23.7408313751221,1,-0.0257849283516407,0.2
23.7891521453857,1,-0.0257849283516407,0.2
23.8212308883667,1,-0.0422970466315746,0.2
23.8413777351379,1,-0.0422970466315746,0.2
23.8581657409668,1,-0.0505531057715416,0.2
23.8671092987061,1,-0.0670652240514755,0.2
23.8854126930237,1,-0.0753212869167328,0.2
23.9126074314117,1,-0.0918334051966667,0.2
24.0144529342651,1,-0.100089468061924,0.2
24.1046490669251,1,-0.100089468061924,0.2
24.155070066452,1,-0.100089468061924,0.2
24.2543179988861,1,-0.0670652240514755,0.2
24.2543423175812,1,-0.0505531057715416,0.2
24.2612926959991,1,-0.0422970466315746,0.2
24.2613275051117,1,-0.0175288673490286,0.2
24.276083946228,1,0,0.2
24.3425900936127,1,0,0.2
24.3829698562622,1,0,0.2
24.4311540126801,1,0,0.2
24.5277240276337,1,0,0.2
24.5779309272766,1,0,0.2
24.6369638442993,1,0,0.2
24.6944806575775,1,0,0.2
24.7877249717712,1,0,0.2
24.8410942554474,1,0,0.2
24.8842613697052,1,0,0.2
24.9911625385284,1,0,0.2
25.040041923523,1,0,0.2
25.0829386711121,1,0,0.2
25.1350498199463,1,0,0.2
25.2316904067993,1,0,0.2
25.2815306186676,1,0,0.2
25.3855450153351,1,0,0.2
25.4314520359039,1,0,0.2
25.5305080413818,1,0,0.2
25.6324038505554,1,0,0.2
25.6965548992157,1,0,0.2
25.7833726406097,1,0,0.2
25.8327679634094,1,0,0.2
25.9364535808563,1,0,0.2
25.9863412380219,1,0,0.2
26.4683496952057,1,0,0.2
26.4684364795685,1,0,0.2
26.4953310489655,1,0,0.2
26.4970262050629,1,0,0.2
26.4971015453339,1,0,0.2
26.4987547397614,1,0,0.2
26.5430266857147,1,0,0.2
26.5895707607269,1,0,0.2
26.6330077648163,1,0,0.2
26.6945898532867,1,0,0.2
26.7393927574158,1,0,0.2
26.7952256202698,1,0,0.2
26.8401067256928,1,0,0.2
26.8884239196777,1,0,0.2
26.9430041313171,1,0,0.2
26.9905548095703,1,0,0.2
27.0358912944794,1,0,0.2
27.0919032096863,1,0,0.2
27.1481306552887,1,0,0.2
27.1936666965485,1,0,0.2
27.2918753623962,1,0,0.2
27.3385667800903,1,0,0.2
27.3957490921021,1,0,0.2
27.4397461414337,1,0,0.2
27.5018489360809,1,0,0.2
27.5440442562103,1,0,0.2
27.6409041881561,1,0,0.2
27.7392745018005,1,0,0.2
27.7876126766205,1,0,0.2
27.8426060676575,1,0,0.2
27.8949048519135,1,0,0.2
27.994651556015,1,0,0.2
28.0463044643402,1,0,0.2
28.0963425636292,1,0,0.2
28.1989324092865,1,0,0.2
28.24924659729,1,0,0.2
28.3439984321594,1,0,0.2
28.3932390213013,1,0,0.2
28.4488840103149,1,0,0.2
28.4946982860565,1,0,0.2
28.553512096405,1,0,0.2
28.5984287261963,1,0,0.2
28.6536440849304,1,0,0.2
28.7492160797119,1,0,0.2
28.7951810359955,1,0,0.2
28.8559999465942,1,0,0.2
29.0800406932831,1,0,0.2
29.080176115036,1,0,0.2
29.0803184509277,1,0,0.2
29.1510109901428,1,0,0.2
29.2014832496643,1,0,0.2
29.2529315948486,1,0,0.2
29.298882484436,1,0,0.2
29.3509197235107,1,0,0.2
29.405193567276,1,0,0.2
29.4535126686096,1,0,0.2
29.5036036968231,1,0,0.2
29.6046905517578,1,0,0.2
29.6553301811218,1,0,0.2
29.7561097145081,1,0,0.2
29.8025677204132,1,0,0.2
29.8577790260315,1,0,0.2
29.9163775444031,1,0,0.2
29.9569449424744,1,0,0.2
30.0094211101532,1,0,0.2
30.0600752830505,1,0,0.2
30.1131753921509,1,0,0.2
30.1654708385468,1,0,0.2
30.2092452049255,1,0,0.2
30.2649405002594,1,0,0.2
30.3133158683777,1,0,0.2
30.3653643131256,1,0,0.2
30.4086737632751,1,0,0.2
30.4714307785034,1,0,0.2
30.511150598526,1,0,0.2
30.5758159160614,1,0,0.2
30.6749241352081,1,0,0.2
30.7629268169403,1,0,0.2
30.8644194602966,1,0,0.2
30.9126372337341,1,0,0.2
31.0136051177979,1,0,0.2
31.0675864219666,1,0,0.2
31.1160047054291,1,0,0.2
31.1667649745941,1,0,0.2
31.2636153697968,1,0,0.2
31.324159860611,1,0,0.2
31.3626432418823,1,0,0.2
31.4186408519745,1,0,0.2
